sentence_1;sentence_2;similarity_score
Chemicals for use in agriculture;Chemicals for the protection of plants [other than fungicides, weedkillers, herbicides, insecticides, parasiticides];1.0
Telecommunication services;Provision of wireless application protocol services including those utilising a secure communications channel;1.0
Clothing;Gloves with conductive fingertips that may be worn while using handheld electronic touch screen devices;1.0
Telecommunication services;Communication services, namely, electronic transmission of data and documents among users of computers;1.0
Hand tools and implements [hand-operated];Parts and fittings for arbors bits chucks drills tips for tool bits all for use in handoperated tools;1.0
Human healthcare services;Consultancy and information services provided via the Internet relating to pharmaceutical products;1.0
Provision of food and drink;Providing of food and drink through the distribution of tray meals box meals and prepared dishes;1.0
Publishing and reporting;Electronic publication of texts and printed matter, other than publicity texts, on the Internet;1.0
Transportation information;Providing transport and travel information via mobile telecommunications apparatus and devices;1.0
Human healthcare services;Health care services offered through a network of health care providers on a contract basis;1.0
Providing an ecommerce platform on the internet;Provision of telecommunication access and links to computer databases and to the internet;1.0
Telecommunication services;Provision of telecommunication access and links to computer databases and to the internet;1.0
Consultancy and support in the field of industrial property rights;Legal services relating to the exploitation of copyright and industrial property rights;1.0
Publishing and reporting;Publication of printed matter, also in electronic form, except for advertising purposes;1.0
Hand tools and implements [hand-operated];Parts and fittings for cutting tools bits end mills drills taps all being handoperated;1.0
Plastic materials for packaging;Bags and articles for packaging, wrapping and storage, of paper, cardboard or plastics;1.0
Finance services;Provision of financial services by means of a global computer network or the internet;1.0
Travel arrangement;Consultancy in the field of travel provided by telephone call centers and hotlines;1.0
Advertising;Promoting the goods and services of others via computer and communication networks;1.0
Publishing and reporting;Publication of material which can be accessed from databases or from the internet;1.0
Tools;Drills and injection packers handoperated for repair and maintenance of buildings;1.0
Telecommunication services;Providing of access to databases enabling users to select and order goods online;1.0
Hand tools and implements [hand-operated];Parts and fittings for handoperated hand tools for cutting milling and drilling;1.0
Human healthcare services;Providing information relating to the preparation and dispensing of medications;1.0
Advertising;Sales promotion and advertising for merchants with premises in shopping arcades;1.0
Cosmetic preparations for baths;Douching preparations for personal sanitary or deodorant purposes [toiletries];1.0
Home construction services;Consultancy relating to building modification and redevelopment of real estate;1.0
Business administration;Commercial administration of the licensing of the goods and services of others;1.0
Advertising;Provision of advertising for accessing via communication and computer networks;1.0
Cosmetics;Douching preparations for personal sanitary or deodorant purposes [toiletries];1.0
Publishing and reporting;Publication of electronic newspapers accessible via a global computer network;1.0
Publishing and reporting;Publication of printed matter, other than publicity texts, in electronic form;1.0
Serving food and drinks;Providing food and drink catering services for fair and exhibition facilities;1.0
Advertising;Promoting the sale of goods and services of others through promotional events;1.0
Business management;Information and data compiling and analyzing relating to business management;1.0
Game services provided online from a computer network;Providing on-line information in the field of computer gaming entertainment;1.0
Human healthcare services;Consultancy and information services relating to biopharmaceutical products;1.0
Human healthcare services;Providing information to patients in the field of administering medications;1.0
Entertainment services;Electronic game services and competitions provided by means of the internet;1.0
Computer programming;Development of software solutions for internet providers and internet users;1.0
Downloadable and recorded computer programs and downloadable and recorded software;Downloadable interactive entertainment software for playing computer games;1.0
Alcoholic beverages (except beer);Japanese sweet grape wine containing extracts of ginseng and cinchona bark;1.0
Human hygiene and beauty care;Consultancy provided via the Internet in the field of body and beauty care;1.0
Business administration;Business administration services for processing sales made on the internet;1.0
Database design and development;Updating and adapting of computer programs according to user requirements;1.0
Transportation information;Providing information about automobiles for lease by mean of the internet;1.0
Rental of meeting rooms;Provision of event facilities and temporary office and meeting facilities;1.0
Entertainment services;Services providing entertainment in the form of live musical performances;1.0
Computer software;Computer software for controlling and managing access server applications;1.0
Filling liquids for electronic cigarettes;Flavourings, other than essential oils, for use in electronic cigarettes;1.0
Human healthcare services;Consultancy and information services relating to pharmaceutical products;1.0
Computer rental;Providing computer facilities for the electronic storage of digital data;1.0
Advertising;Promoting the goods and services of others via a global computer network;1.0
IT services;Computer security services for protection against illegal network access;1.0
Business management and organization consultancy;Advisory services (Business -) relating to the management of businesses;1.0
Telecommunication services;Rental of access time to computer networks featuring multimedia content;1.0
Business management;Business management assistance in the operation of restaurants and bars;1.0
Advertising;Preparation and realization of media and advertising plans and concepts;1.0
Cosmetics;Impregnated tissues for cleaning [non-medicated, for use on the person];1.0
Publishing and reporting;Publication of printed matter relating to intellectual property rights;1.0
Temporary accommodation;Hotels, hostels and boarding houses, holiday and tourist accommodation;1.0
Advertising;Presentation of companies and their goods and services on the Internet;1.0
Organization of competitions [education or entertainment];Arranging and conducting of competitions [education or entertainment];1.0
Services for providing food and drink;Preparation and provision of food and drink for immediate consumption;1.0
Telecommunication services;Providing telecommunications connections to a global computer network;1.0
Recording studio services;Digital video, audio and multimedia entertainment publishing services;1.0
Publishing and reporting;Digital video, audio and multimedia entertainment publishing services;1.0
Serving food and drinks;Preparation and provision of food and drink for immediate consumption;1.0
Videotaping;Digital video, audio and multimedia entertainment publishing services;1.0
Production of radio and television programmes;Production of sound and image recordings on sound and image carriers;1.0
Services for providing food and drink;Providing food and drink catering services for exhibition facilities;1.0
Providing of food and drink food;Bistro services and catering for the provision of food and beverages;1.0
Telecommunication services;Automatic transfer of digital data using telecommunications channels;1.0
Telecommunication services;Provision of access to blogs and forums for transmission of messages;1.0
Publishing and reporting;Publishing of journals, books and handbooks in the field of medicine;1.0
Boarding house bookings;Temporary accommodation information, advice and reservation services;1.0
Serving food and drinks;Providing food and drink catering services for convention facilities;1.0
Business consultancy and advisory services;Advisory services relating to the corporate structure of businesses;1.0
Business consultancy and advisory services;Consultancy and advisory services in the field of business strategy;1.0
Telecommunication services;Communications services for the exchange of data in electronic form;1.0
Cigarettes;Cigarettes containing tobacco substitutes, not for medical purposes;1.0
Beds;Hybrid beds being soft sided waterbeds [other than for medical use];1.0
Organization of exhibitions for commercial or advertising purposes;Organization of trade fairs for commercial or advertising purposes;1.0
Arranging and conducting of symposiums;Arranging and conducting of conferences, congresses and symposiums;1.0
Batteries, electric, for vehicles;Apparatus and instruments for accumulating and storing electricity;1.0
Sales promotion for others;Organization of exhibitions for commercial or advertising purposes;1.0
Human healthcare services;Advice relating to the personal welfare of elderly people [health];1.0
