2026-04-11 14:51:59,598 INFO    MainThread:28862 [wandb_setup.py:_flush():81] Current SDK version is 0.25.1
2026-04-11 14:51:59,599 INFO    MainThread:28862 [wandb_setup.py:_flush():81] Configure stats pid to 28862
2026-04-11 14:51:59,599 INFO    MainThread:28862 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-04-11 14:51:59,599 INFO    MainThread:28862 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /Users/dide/test_technique_mlops/wandb/run-20260411_145159-425vh1zm/logs/debug.log
2026-04-11 14:51:59,599 INFO    MainThread:28862 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /Users/dide/test_technique_mlops/wandb/run-20260411_145159-425vh1zm/logs/debug-internal.log
2026-04-11 14:51:59,599 INFO    MainThread:28862 [wandb_init.py:init():844] calling init triggers
2026-04-11 14:51:59,599 INFO    MainThread:28862 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'model_type': 'TF-IDF + Cosine', 'max_features': 5000, 'dataset_size': 'all', '_wandb': {}}
2026-04-11 14:51:59,599 INFO    MainThread:28862 [wandb_init.py:init():892] starting backend
2026-04-11 14:51:59,864 INFO    MainThread:28862 [wandb_init.py:init():895] sending inform_init request
2026-04-11 14:51:59,886 INFO    MainThread:28862 [wandb_init.py:init():903] backend started and connected
2026-04-11 14:51:59,900 INFO    MainThread:28862 [wandb_init.py:init():973] updated telemetry
2026-04-11 14:51:59,909 INFO    MainThread:28862 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-04-11 14:52:00,618 INFO    MainThread:28862 [wandb_init.py:init():1042] starting run threads in backend
2026-04-11 14:52:00,734 INFO    MainThread:28862 [wandb_run.py:_console_start():2524] atexit reg
2026-04-11 14:52:00,734 INFO    MainThread:28862 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-04-11 14:52:00,734 INFO    MainThread:28862 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-04-11 14:52:00,734 INFO    MainThread:28862 [wandb_run.py:_redirect():2465] Redirects installed.
2026-04-11 14:52:00,735 INFO    MainThread:28862 [wandb_init.py:init():1082] run started, returning control to user process
2026-04-11 14:52:00,739 INFO    wandb-AsyncioManager-main:28862 [service_client.py:_forward_responses():134] Reached EOF.
2026-04-11 14:52:00,739 INFO    wandb-AsyncioManager-main:28862 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
